scope,strategy,marketFrequency,maxChangesPerWindow,stopLossThreshold,takeProfitThreshold,numScenarios,avgROI,medianROI,bestROI,worstROI,volatility,pctAbove0,pctAbove7,pctAbove10,avgTrades,avgCommissions,avgPlatformRevenue,avgDeltaVsHold,overtradingRisk
completed,VALUE_ROTATION,3,3,-10,15,2,44.6379,44.6379,60.8063,28.4695,16.1684,100.0000,100.0000,100.0000,36.0000,9.4146,0.9415,-172.5588,HIGH
completed,VALUE_ROTATION,3,5,-5,7,2,15.9091,15.9091,21.0742,10.7439,5.1651,100.0000,100.0000,100.0000,60.0000,14.6604,1.4660,-201.2876,HIGH
completed,VALUE_ROTATION,3,5,-5,10,2,15.9091,15.9091,21.0742,10.7439,5.1651,100.0000,100.0000,100.0000,60.0000,14.6604,1.4660,-201.2876,HIGH
completed,VALUE_ROTATION,3,5,-5,15,2,15.9091,15.9091,21.0742,10.7439,5.1651,100.0000,100.0000,100.0000,60.0000,14.6604,1.4660,-201.2876,HIGH
completed,VALUE_ROTATION,3,5,-10,7,2,15.9091,15.9091,21.0742,10.7439,5.1651,100.0000,100.0000,100.0000,60.0000,14.6604,1.4660,-201.2876,HIGH
completed,VALUE_ROTATION,3,5,-10,10,2,15.9091,15.9091,21.0742,10.7439,5.1651,100.0000,100.0000,100.0000,60.0000,14.6604,1.4660,-201.2876,HIGH
completed,VALUE_ROTATION,3,5,-10,15,2,15.9091,15.9091,21.0742,10.7439,5.1651,100.0000,100.0000,100.0000,60.0000,14.6604,1.4660,-201.2876,HIGH
completed,VALUE_ROTATION,5,1,-5,7,2,154.0260,154.0260,180.2066,127.8455,26.1806,100.0000,100.0000,100.0000,7.0000,3.3853,0.3385,-63.1706,LOW
completed,VALUE_ROTATION,5,1,-5,10,2,154.0260,154.0260,180.2066,127.8455,26.1806,100.0000,100.0000,100.0000,7.0000,3.3853,0.3385,-63.1706,LOW
completed,VALUE_ROTATION,5,1,-5,15,2,154.0260,154.0260,180.2066,127.8455,26.1806,100.0000,100.0000,100.0000,7.0000,3.3853,0.3385,-63.1706,LOW
completed,VALUE_ROTATION,5,1,-10,7,2,154.0260,154.0260,180.2066,127.8455,26.1806,100.0000,100.0000,100.0000,7.0000,3.3853,0.3385,-63.1706,LOW
completed,VALUE_ROTATION,5,1,-10,10,2,154.0260,154.0260,180.2066,127.8455,26.1806,100.0000,100.0000,100.0000,7.0000,3.3853,0.3385,-63.1706,LOW
completed,VALUE_ROTATION,5,1,-10,15,2,154.0260,154.0260,180.2066,127.8455,26.1806,100.0000,100.0000,100.0000,7.0000,3.3853,0.3385,-63.1706,LOW
completed,VALUE_ROTATION,5,3,-5,7,2,86.9785,86.9785,94.3078,79.6491,7.3294,100.0000,100.0000,100.0000,21.0000,6.4445,0.6445,-130.2182,MEDIUM
completed,VALUE_ROTATION,5,3,-5,10,2,86.9785,86.9785,94.3078,79.6491,7.3294,100.0000,100.0000,100.0000,21.0000,6.4445,0.6445,-130.2182,MEDIUM
completed,VALUE_ROTATION,5,3,-5,15,2,86.9785,86.9785,94.3078,79.6491,7.3294,100.0000,100.0000,100.0000,21.0000,6.4445,0.6445,-130.2182,MEDIUM
completed,VALUE_ROTATION,5,3,-10,7,2,86.9785,86.9785,94.3078,79.6491,7.3294,100.0000,100.0000,100.0000,21.0000,6.4445,0.6445,-130.2182,MEDIUM
completed,VALUE_ROTATION,5,3,-10,10,2,86.9785,86.9785,94.3078,79.6491,7.3294,100.0000,100.0000,100.0000,21.0000,6.4445,0.6445,-130.2182,MEDIUM
completed,VALUE_ROTATION,5,3,-10,15,2,86.9785,86.9785,94.3078,79.6491,7.3294,100.0000,100.0000,100.0000,21.0000,6.4445,0.6445,-130.2182,MEDIUM
completed,VALUE_ROTATION,5,5,-5,7,2,61.3561,61.3561,85.5848,37.1274,24.2287,100.0000,100.0000,100.0000,35.0000,9.6878,0.9688,-155.8406,MEDIUM
completed,VALUE_ROTATION,5,5,-5,10,2,61.3561,61.3561,85.5848,37.1274,24.2287,100.0000,100.0000,100.0000,35.0000,9.6878,0.9688,-155.8406,MEDIUM
completed,VALUE_ROTATION,5,5,-5,15,2,61.3561,61.3561,85.5848,37.1274,24.2287,100.0000,100.0000,100.0000,35.0000,9.6878,0.9688,-155.8406,MEDIUM
completed,VALUE_ROTATION,5,5,-10,7,2,61.3561,61.3561,85.5848,37.1274,24.2287,100.0000,100.0000,100.0000,35.0000,9.6878,0.9688,-155.8406,MEDIUM
completed,VALUE_ROTATION,5,5,-10,10,2,61.3561,61.3561,85.5848,37.1274,24.2287,100.0000,100.0000,100.0000,35.0000,9.6878,0.9688,-155.8406,MEDIUM
completed,VALUE_ROTATION,5,5,-10,15,2,61.3561,61.3561,85.5848,37.1274,24.2287,100.0000,100.0000,100.0000,35.0000,9.6878,0.9688,-155.8406,MEDIUM
completed,VALUE_ROTATION,7,1,-5,7,2,166.6035,166.6035,168.3055,164.9016,1.7020,100.0000,100.0000,100.0000,5.0000,2.9646,0.2965,-50.5931,LOW
completed,VALUE_ROTATION,7,1,-5,10,2,166.6035,166.6035,168.3055,164.9016,1.7020,100.0000,100.0000,100.0000,5.0000,2.9646,0.2965,-50.5931,LOW
completed,VALUE_ROTATION,7,1,-5,15,2,166.6035,166.6035,168.3055,164.9016,1.7020,100.0000,100.0000,100.0000,5.0000,2.9646,0.2965,-50.5931,LOW
completed,VALUE_ROTATION,7,1,-10,7,2,166.6035,166.6035,168.3055,164.9016,1.7020,100.0000,100.0000,100.0000,5.0000,2.9646,0.2965,-50.5931,LOW
completed,VALUE_ROTATION,7,1,-10,10,2,166.6035,166.6035,168.3055,164.9016,1.7020,100.0000,100.0000,100.0000,5.0000,2.9646,0.2965,-50.5931,LOW
completed,VALUE_ROTATION,7,1,-10,15,2,166.6035,166.6035,168.3055,164.9016,1.7020,100.0000,100.0000,100.0000,5.0000,2.9646,0.2965,-50.5931,LOW
completed,VALUE_ROTATION,7,3,-5,7,2,79.1643,79.1643,81.1549,77.1738,1.9906,100.0000,100.0000,100.0000,15.0000,5.1262,0.5126,-138.0323,LOW
completed,VALUE_ROTATION,7,3,-5,10,2,79.1643,79.1643,81.1549,77.1738,1.9906,100.0000,100.0000,100.0000,15.0000,5.1262,0.5126,-138.0323,LOW
completed,VALUE_ROTATION,7,3,-5,15,2,79.1643,79.1643,81.1549,77.1738,1.9906,100.0000,100.0000,100.0000,15.0000,5.1262,0.5126,-138.0323,LOW
completed,VALUE_ROTATION,7,3,-10,7,2,79.1643,79.1643,81.1549,77.1738,1.9906,100.0000,100.0000,100.0000,15.0000,5.1262,0.5126,-138.0323,LOW
completed,VALUE_ROTATION,7,3,-10,10,2,79.1643,79.1643,81.1549,77.1738,1.9906,100.0000,100.0000,100.0000,15.0000,5.1262,0.5126,-138.0323,LOW
completed,VALUE_ROTATION,7,3,-10,15,2,79.1643,79.1643,81.1549,77.1738,1.9906,100.0000,100.0000,100.0000,15.0000,5.1262,0.5126,-138.0323,LOW
completed,VALUE_ROTATION,7,5,-5,7,2,64.8870,64.8870,65.7374,64.0366,0.8504,100.0000,100.0000,100.0000,25.0000,7.1167,0.7117,-152.3097,MEDIUM
completed,VALUE_ROTATION,7,5,-5,10,2,64.8870,64.8870,65.7374,64.0366,0.8504,100.0000,100.0000,100.0000,25.0000,7.1167,0.7117,-152.3097,MEDIUM
completed,VALUE_ROTATION,7,5,-5,15,2,64.8870,64.8870,65.7374,64.0366,0.8504,100.0000,100.0000,100.0000,25.0000,7.1167,0.7117,-152.3097,MEDIUM
completed,VALUE_ROTATION,7,5,-10,7,2,64.8870,64.8870,65.7374,64.0366,0.8504,100.0000,100.0000,100.0000,25.0000,7.1167,0.7117,-152.3097,MEDIUM
completed,VALUE_ROTATION,7,5,-10,10,2,64.8870,64.8870,65.7374,64.0366,0.8504,100.0000,100.0000,100.0000,25.0000,7.1167,0.7117,-152.3097,MEDIUM
completed,VALUE_ROTATION,7,5,-10,15,2,64.8870,64.8870,65.7374,64.0366,0.8504,100.0000,100.0000,100.0000,25.0000,7.1167,0.7117,-152.3097,MEDIUM
completed,MOMENTUM,3,1,-5,7,2,-29.5362,-29.5362,-27.9799,-31.0925,1.5563,0.0000,0.0000,0.0000,12.0000,25.0492,2.5049,-246.7329,LOW
completed,MOMENTUM,3,1,-5,10,2,-29.5362,-29.5362,-27.9799,-31.0925,1.5563,0.0000,0.0000,0.0000,12.0000,25.0492,2.5049,-246.7329,LOW
completed,MOMENTUM,3,1,-5,15,2,-29.5362,-29.5362,-27.9799,-31.0925,1.5563,0.0000,0.0000,0.0000,12.0000,25.0492,2.5049,-246.7329,LOW
completed,MOMENTUM,3,1,-10,7,2,-29.5362,-29.5362,-27.9799,-31.0925,1.5563,0.0000,0.0000,0.0000,12.0000,25.0492,2.5049,-246.7329,LOW
completed,MOMENTUM,3,1,-10,10,2,-29.5362,-29.5362,-27.9799,-31.0925,1.5563,0.0000,0.0000,0.0000,12.0000,25.0492,2.5049,-246.7329,LOW
