buy_commission_pct,sell_commission_pct,platform_fee_pct,avg_organizer_margin_pct,org_profit_per_participant,avg_platform_revenue,avg_prize_pool,avg_first_prize,avg_winner_roi_pct,pct_above_0,platform_loss_risk_pct,is_sustainable,is_pareto_optimal,score_max_organizer,score_participant_welfare,score_winner_attractiveness,score_balanced
5,2,25,25,40.97,2048.7,6146.11,2458.45,4817,12,0,true,false,2048.7,12,8.4801,16.32
5,5,5,5,10.31,515.59,9796.13,3918.45,7737,12,0,true,false,515.59,12,8.9539,8.4385
5,5,10,10,20.62,1031.17,9280.54,3712.22,7324,12,0,true,false,1031.17,12,8.8991,10.4248
5,5,15,15,30.94,1546.76,8764.96,3505.98,6912,12,0,true,false,1546.76,12,8.8412,12.4103
5,5,20,20,41.25,2062.34,8249.37,3299.75,6499,12,0,true,false,2062.34,12,8.7796,14.3949
5,5,25,25,51.56,2577.93,7733.79,3093.51,6087,12,0,true,false,2577.93,12,8.7141,16.3785
5,8,5,5,12.39,619.54,11771.25,4708.5,9317,12,0,true,false,619.54,12,9.1397,8.4849
5,8,10,10,24.78,1239.08,11151.71,4460.68,8821,12,0,true,false,1239.08,12,9.085,10.4713
5,8,15,15,37.17,1858.62,10532.17,4212.87,8326,12,0,true,false,1858.62,12,9.0272,12.4568
5,8,20,20,49.56,2478.16,9912.63,3965.05,7830,12,0,true,false,2478.16,12,8.9659,14.4415
5,8,25,25,61.95,3097.7,9293.09,3717.24,7334,12,0,true,false,3097.7,12,8.9005,16.4251
8,0.5,5,5,9.52,475.92,9042.47,3616.99,7134,12,0,true,false,475.92,12,8.8728,8.4182
8,0.5,10,10,19.04,951.84,8566.55,3426.62,6753,12,0,true,false,951.84,12,8.8179,10.4045
8,0.5,15,15,28.56,1427.76,8090.63,3236.25,6373,12,0,true,false,1427.76,12,8.7599,12.39
8,0.5,20,20,38.07,1903.68,7614.71,3045.88,5992,12,0,true,false,1903.68,12,8.6983,14.3746
8,0.5,25,25,47.59,2379.6,7138.79,2855.52,5611,12,0,true,false,2379.6,12,8.6327,16.3582
8,1.25,5,5,10.06,502.82,9553.57,3821.43,7543,12,0,true,false,502.82,12,8.9285,8.4321
8,1.25,10,10,20.11,1005.64,9050.75,3620.3,7141,12,0,true,false,1005.64,12,8.8737,10.4184
8,1.25,15,15,30.17,1508.46,8547.93,3419.17,6738,12,0,true,false,1508.46,12,8.8157,12.4039
8,1.25,20,20,40.23,2011.28,8045.11,3218.04,6336,12,0,true,false,2011.28,12,8.7542,14.3885
8,1.25,25,25,50.28,2514.1,7542.29,3016.92,5934,12,0,true,false,2514.1,12,8.6886,16.3721
8,2,5,5,10.64,532.11,10110.11,4044.04,7988,12,0,true,false,532.11,12,8.9858,8.4465
8,2,10,10,21.28,1064.22,9578,3831.2,7562,12,0,true,false,1064.22,12,8.9311,10.4328
8,2,15,15,31.93,1596.33,9045.89,3618.35,7137,12,0,true,false,1596.33,12,8.8731,12.4183
8,2,20,20,42.57,2128.44,8513.77,3405.51,6711,12,0,true,false,2128.44,12,8.8117,14.4029
8,2,25,25,53.21,2660.55,7981.66,3192.67,6285,12,0,true,false,2660.55,12,8.7461,16.3865
8,5,5,5,12.66,633.09,12028.76,4811.5,9523,12,0,true,false,633.09,12,9.1616,8.4904
8,5,10,10,25.32,1266.19,11395.67,4558.27,9017,12,0,true,false,1266.19,12,9.1069,10.4767
8,5,15,15,37.99,1899.28,10762.58,4305.03,8510,12,0,true,false,1899.28,12,9.0491,12.4623
8,5,20,20,50.65,2532.37,10129.48,4051.79,8004,12,0,true,false,2532.37,12,8.9878,14.4469
8,5,25,25,63.31,3165.46,9496.39,3798.56,7497,12,0,true,false,3165.46,12,8.9224,16.4306
8,8,5,5,14.66,733.22,13931.15,5572.46,11045,12,0,true,false,733.22,12,9.3098,8.5275
8,8,10,10,29.33,1466.44,13197.93,5279.17,10458,12,0,true,false,1466.44,12,9.2553,10.5138
8,8,15,15,43.99,2199.65,12464.71,4985.88,9872,12,0,true,false,2199.65,12,9.1975,12.4994
8,8,20,20,58.66,2932.87,11731.49,4692.6,9285,12,0,true,false,2932.87,12,9.1363,14.4841
8,8,25,25,73.32,3666.09,10998.27,4399.31,8699,12,0,true,false,3666.09,12,9.071,16.4678
10,0.5,5,5,11.12,555.85,10561.06,4224.42,8349,12,0,true,false,555.85,12,9.03,8.4575
10,0.5,10,10,22.23,1111.69,10005.21,4002.08,7904,12,0,true,false,1111.69,12,8.9753,10.4438
10,0.5,15,15,33.35,1667.54,9449.37,3779.75,7459,12,0,true,false,1667.54,12,8.9174,12.4293
10,0.5,20,20,44.47,2223.38,8893.52,3557.41,7015,12,0,true,false,2223.38,12,8.8559,14.414
10,0.5,25,25,55.58,2779.23,8337.68,3335.07,6570,12,0,true,false,2779.23,12,8.7904,16.3976
10,1.25,5,5,11.64,582.06,11059.14,4423.66,8747,12,0,true,false,582.06,12,9.0766,8.4692
10,1.25,10,10,23.28,1164.12,10477.08,4190.83,8282,12,0,true,false,1164.12,12,9.0219,10.4555
10,1.25,15,15,34.92,1746.18,9895.02,3958.01,7816,12,0,true,false,1746.18,12,8.9641,12.441
10,1.25,20,20,46.56,2328.24,9312.96,3725.19,7350,12,0,true,false,2328.24,12,8.9026,14.4257
10,1.25,25,25,58.21,2910.3,8730.9,3492.36,6885,12,0,true,false,2910.3,12,8.8372,16.4093
10,2,5,5,12.12,606.02,11514.4,4605.76,9112,12,0,true,false,606.02,12,9.1174,8.4794
10,2,10,10,24.24,1212.04,10908.38,4363.35,8627,12,0,true,false,1212.04,12,9.0627,10.4657
10,2,15,15,36.36,1818.06,10302.36,4120.94,8142,12,0,true,false,1818.06,12,9.0049,12.4512
